"x1","x2","x3"
0,0,0
4.08288527500069e-06,4.53304703600856e-06,4.47734880354279e-06
4.63801125594098e-06,4.97718084152051e-06,5.00442629399696e-06
5.40038992814055e-06,5.77682076388613e-06,5.03239575213438e-06
5.25574391147071e-06,5.17909161753849e-06,4.90167574914661e-06
5.59203234173839e-06,5.62977944433596e-06,5.63625714126663e-06
5.53883547920697e-06,4.76735800110806e-06,5.63809633277506e-06
5.50963793410611e-06,5.14269679792565e-06,5.03777611559433e-06
5.40574578741913e-06,4.92769221606233e-06,5.1514325478991e-06
5.04298295731216e-06,5.07425844447351e-06,5.57961628819754e-06
5.3135529198532e-06,5.40510988485233e-06,5.00533308116427e-06
5.12990007354501e-06,4.81403149388028e-06,5.17672943357296e-06
5.28460224598619e-06,5.08727168336343e-06,5.18871656354755e-06
5.39130804430882e-06,5.09922736941911e-06,4.69032180629335e-06
5.45634513052341e-06,5.42873190589479e-06,6.15799977496538e-06
5.11226507683616e-06,4.46961903928343e-06,4.80084002214016e-06
5.19146827890301e-06,4.17697014183183e-06,5.00256072208102e-06
4.90584499658408e-06,4.532133571317e-06,4.95151067831374e-06
5.35257103367281e-06,4.89314375681406e-06,5.5349732291901e-06
5.03660651868057e-06,5.23942861971128e-06,5.08771046701099e-06
4.61188283415702e-06,5.15989049344864e-06,5.38381711976267e-06
4.59002543943177e-06,4.6534206369002e-06,4.97195723665516e-06
4.75451303354739e-06,4.8263258120491e-06,5.12089570517561e-06
4.48389494194128e-06,4.7645835904849e-06,4.69345633924791e-06
4.57436452467689e-06,5.54334864525323e-06,4.75468397803114e-06
4.84765691025934e-06,5.27380202312702e-06,4.70346085661906e-06
5.45015675372798e-06,5.10671270434654e-06,5.42753032758475e-06
5.49075449415301e-06,4.89463940639998e-06,5.53258627727743e-06
4.60141128667745e-06,4.47620989855819e-06,5.02441774993838e-06
4.89126954475563e-06,4.93539081849662e-06,5.25573104206738e-06
5.05742585240341e-06,5.18969512252435e-06,4.67678640013496e-06
5.00033017045357e-06,4.6573165714787e-06,5.01282876177443e-06
5.00884156178357e-06,5.15685563963651e-06,5.06211434610888e-06
5.15589221621519e-06,5.5037740791029e-06,4.93218303611416e-06
4.65983569122454e-06,5.07850504435455e-06,4.73168606683523e-06
4.77494139256107e-06,5.77171765698895e-06,4.8418892498692e-06
5.01991044721215e-06,5.70138986933015e-06,4.80911693727106e-06
5.00185112046839e-06,5.28909965750123e-06,4.91583355739898e-06
5.1409479972041e-06,5.00831020407119e-06,5.46086559025703e-06
4.82449786726002e-06,5.38415960591593e-06,4.76427690293614e-06
5.3000305375343e-06,4.75646941921511e-06,4.53773649072919e-06
4.92217576934637e-06,4.8195875865561e-06,5.56383359675705e-06
5.29829567809119e-06,4.60020373090943e-06,5.03548640173078e-06
5.33500895026211e-06,4.92466386198209e-06,5.21899727100056e-06
4.80554018902183e-06,4.6548325075485e-06,4.26048116859421e-06
4.58292383521959e-06,4.85875436387922e-06,4.40923181542204e-06
4.86364075294991e-06,4.40470912118079e-06,4.31601120360847e-06
4.98468411757659e-06,4.88389171473348e-06,4.978913225854e-06
4.86245044465036e-06,5.26089672255013e-06,4.88389317784848e-06
4.93488006272712e-06,5.23963512677133e-06,4.76327918104527e-06
4.46189990857702e-06,4.40655734459601e-06,5.72674788260091e-06
4.82657441927695e-06,4.41203428127824e-06,5.20954050713188e-06
4.7241608069549e-06,5.0799811915481e-06,4.3935118935052e-06
5.10278688958218e-06,4.17911393262574e-06,4.82727396900992e-06
4.9192922777222e-06,4.42043671337914e-06,4.44505357437347e-06
4.29610660772633e-06,4.65298109397527e-06,4.23005147561843e-06
4.7942397411255e-06,4.47283328466077e-06,4.60202282073314e-06
4.87840255810938e-06,4.58288674111399e-06,5.05331726112039e-06
5.50306028557924e-06,4.61597834909944e-06,4.98023477390544e-06
5.18355056615014e-06,5.500412354656e-06,4.77126655760296e-06
5.51995553622902e-06,6.0312689575881e-06,5.8805265188146e-06
4.98359022807332e-06,4.79984256456937e-06,4.5780464035538e-06
5.77807577892861e-06,4.93948459808153e-06,4.82811227100966e-06
5.47542197371249e-06,5.15925000543944e-06,4.5969875630013e-06
5.24805732775503e-06,5.01187591870302e-06,4.84802742053206e-06
4.71319978331399e-06,4.77036211603535e-06,5.45629810758099e-06
4.50818704025344e-06,5.18230154466515e-06,4.69243843455689e-06
4.78858677449916e-06,4.61887434708549e-06,4.60097646543432e-06
5.0450666038315e-06,4.94765779669832e-06,4.66260953075696e-06
5.22520893075213e-06,5.27772284407575e-06,5.35073399307259e-06
4.86266795051475e-06,4.60000015259975e-06,5.20081694425822e-06
4.55407793865906e-06,4.97226465627019e-06,5.24442806981273e-06
5.11308501888226e-06,4.7145467424396e-06,4.54720413503273e-06
4.54490071249183e-06,5.1463838166703e-06,4.62463056833529e-06
4.99154514770232e-06,5.07212935490927e-06,4.38353573571353e-06
4.37087327734171e-06,5.56510806510432e-06,5.34542055556234e-06
4.73472465127623e-06,4.53869030896183e-06,5.29024544195556e-06
4.89680008833224e-06,5.50269510536769e-06,5.30945582626231e-06
5.01057870810801e-06,4.64744099876209e-06,4.82816587314556e-06
4.6403288127126e-06,4.5992003510651e-06,4.71537562406599e-06
5.10780465968496e-06,4.75495154831185e-06,4.47972712168027e-06
5.51218683507321e-06,4.83471814497344e-06,5.30299383853267e-06
5.53912902097436e-06,5.19921406425691e-06,5.02675775798723e-06
5.37594663711243e-06,4.80025476527389e-06,4.5061843163516e-06
5.58449667896026e-06,5.44852752949836e-06,5.32347859894951e-06
4.87800180068222e-06,4.94393935224729e-06,4.49792305070179e-06
4.6006321637276e-06,5.17478292562299e-06,5.33082106945518e-06
5.10807490352715e-06,5.55201316446337e-06,5.48623247662083e-06
4.80822474357383e-06,5.28903474640909e-06,5.18491680108889e-06
5.93661738176583e-06,4.76570397977939e-06,5.09019396908696e-06
5.06949882872045e-06,4.52708074258156e-06,4.9129325490168e-06
4.83654565170818e-06,4.732610346568e-06,4.35211639425028e-06
4.85956189596603e-06,5.04019582375302e-06,5.32840468024713e-06
4.59496509985346e-06,4.68160765922814e-06,4.74679324632052e-06
4.66752023620888e-06,4.43834032332842e-06,5.29988691368432e-06
4.79131127219662e-06,5.15517378811642e-06,4.60933023706974e-06
4.99089349115394e-06,5.00448205483975e-06,4.41775656844258e-06
4.93184034153919e-06,5.01386990050558e-06,5.05591272626662e-06
4.98897645434691e-06,4.84116787938271e-06,5.46115444119489e-06
5.14915252926088e-06,4.93324357563484e-06,5.50498953858725e-06
4.12425175532346e-06,4.77045258435883e-06,4.75708506192971e-06
4.19674288704721e-06,4.54355461127898e-06,4.50051651026977e-06
4.82455488875129e-06,5.2576671243939e-06,5.08539349726418e-06
4.51810821129996e-06,4.7447580180998e-06,4.6243350491034e-06
4.57641853943212e-06,4.80727229889222e-06,4.78252560419639e-06
4.89589029172556e-06,4.8778371808782e-06,4.56706916477814e-06
4.76583744924908e-06,4.34055392001738e-06,4.60671682022459e-06
5.22705340163014e-06,5.2884417248609e-06,5.17939111613804e-06
5.16990387794666e-06,5.37854647135482e-06,4.56885851712038e-06
5.36044860514031e-06,5.50991821427152e-06,4.79443835312398e-06
4.73107738611339e-06,4.3809220524996e-06,4.34839859037607e-06
4.67113879243735e-06,4.30431031506026e-06,4.62821300432286e-06
4.62551512072322e-06,4.76294989172575e-06,4.78544771371954e-06
4.68094334631376e-06,4.79750451354446e-06,4.78385928140135e-06
4.35095226437573e-06,4.73677629840484e-06,5.10419515135173e-06
4.35740678633129e-06,4.82627842973177e-06,5.21637120655385e-06
4.46433125835949e-06,4.89360118593607e-06,5.25208273195352e-06
5.04149012803861e-06,5.04021135386531e-06,5.2260796694036e-06
4.95915160805065e-06,4.28091764587169e-06,4.74539332106037e-06
4.52896333761997e-06,4.77055316818764e-06,5.12852770468551e-06
4.87394813407624e-06,5.42259373002315e-06,5.15941328285277e-06
4.85114128627289e-06,4.81952041725996e-06,5.00778206297007e-06
4.59510484825867e-06,5.23810863217593e-06,5.37007355434629e-06
5.16029534538131e-06,4.65971217082726e-06,5.24473215933973e-06
5.04088872166044e-06,4.77309454824929e-06,5.57639467437837e-06
5.25395304430914e-06,4.73168671837522e-06,5.02005781502778e-06
5.36752561124498e-06,5.07768873280283e-06,5.31665717960074e-06
4.94478112664792e-06,4.70212889207796e-06,5.37297332354316e-06
5.41024383796612e-06,4.89188628467787e-06,5.05104971389365e-06
5.14595592289014e-06,5.00475204830172e-06,4.78588729097602e-06
4.65683137998606e-06,5.31810235610913e-06,5.02918154496193e-06
5.10484327330816e-06,4.59733596127616e-06,5.31890892340578e-06
5.87169243072665e-06,4.71494587113591e-06,6.05263736708967e-06
5.50248190628035e-06,5.19134928816715e-06,5.20154693473626e-06
6.42484555243748e-06,5.45916294705024e-06,5.52512268000266e-06
4.94005981800931e-06,5.5763325108203e-06,5.31783888357965e-06
4.81592865281469e-06,4.85691039187787e-06,4.97658306683364e-06
4.4646869927768e-06,4.82996230122353e-06,4.47927466590188e-06
4.16124924733653e-06,4.5774452083214e-06,4.88901911400682e-06
5.06236820443093e-06,4.73897358266823e-06,4.52788612519672e-06
4.91008805492596e-06,4.85670289623212e-06,5.00129231179693e-06
5.30402710515532e-06,5.21317813040391e-06,4.70887587184065e-06
5.33507630887884e-06,5.00325520735766e-06,4.02428043011523e-06
4.6347541096885e-06,5.03977704732243e-06,5.10212751128964e-06
4.68423206504298e-06,4.59837899648662e-06,5.60058319594634e-06
5.02361164154277e-06,4.99239574486139e-06,4.89987773822315e-06
4.82030928883096e-06,5.54758525755768e-06,5.14051600985163e-06
4.77338574297002e-06,5.77342581879254e-06,4.78913751650092e-06
4.88330508732467e-06,4.96191009596214e-06,4.64995200452219e-06
4.97344269896921e-06,5.58369936069743e-06,5.56101653904168e-06
4.84638284392389e-06,4.95092730618308e-06,4.4591289947896e-06
4.96576573757899e-06,5.78651988397881e-06,5.58518742615835e-06
4.98061660484457e-06,4.86779460658278e-06,5.15309233957454e-06
5.49735946388133e-06,4.63348687438535e-06,4.78571337343349e-06
5.43119945818342e-06,4.92640721746704e-06,5.31876064158922e-06
4.80853112157257e-06,5.52955348038207e-06,4.99501561974296e-06
5.60420807671817e-06,5.06593907515276e-06,5.59978552931363e-06
5.74873351154e-06,5.36773172709292e-06,5.66137991826049e-06
5.75763691241987e-06,4.76324741364936e-06,5.29630647176336e-06
5.30200724564934e-06,4.75268423489183e-06,5.85024847978482e-06
4.08722117551568e-06,5.00253152264707e-06,4.90708701482407e-06
5.13230190125453e-06,4.74563882555e-06,4.77195764918782e-06
4.70594418194957e-06,4.61916646037031e-06,4.98842706234904e-06
5.39292788191624e-06,5.31482672141951e-06,5.16906734968117e-06
5.01648543779259e-06,4.89677694359924e-06,4.90205733988301e-06
4.51431532301247e-06,4.11590372510716e-06,4.71298150150594e-06
5.14144245944679e-06,5.07666361377614e-06,5.25764986900806e-06
5.47830689779104e-06,3.98724481452029e-06,4.68341891922507e-06
5.46508305777459e-06,4.99881213358352e-06,4.60399459029125e-06
5.08593149950375e-06,4.77063357057944e-06,4.76261596724906e-06
4.82299492981099e-06,4.16867046924081e-06,4.57330719042194e-06
4.54140617775242e-06,4.70572045155324e-06,4.81933264963442e-06
4.6357143835395e-06,4.78774272674256e-06,4.92035831511604e-06
4.79026312147741e-06,5.07847362474748e-06,4.72143484603602e-06
5.56300900660332e-06,5.92064972806115e-06,5.70509861750434e-06
4.74623171608588e-06,5.37980911336603e-06,5.50502958747073e-06
3.91185724774346e-06,4.59874889269098e-06,4.5686768375083e-06
4.80715176770151e-06,4.93467818840889e-06,4.95223527860903e-06
5.42191228320532e-06,4.96543249691375e-06,4.84375840947668e-06
4.96315297539192e-06,4.66739252460978e-06,5.49820497408354e-06
5.41772604793147e-06,5.44574169335638e-06,5.99582430673363e-06
4.88101683498912e-06,4.9509506610914e-06,4.49179835053353e-06
4.72898606411569e-06,5.58824865416151e-06,5.20861732946743e-06
4.98145652891784e-06,5.63331755463971e-06,5.59626102803257e-06
4.43001284120133e-06,4.94193483125415e-06,4.68636231181991e-06
5.26880968370454e-06,5.15494381073833e-06,4.64574105234771e-06
5.41756329638674e-06,4.65853277295251e-06,5.1878232629746e-06
5.18011646734293e-06,5.03413618861498e-06,4.96167487262748e-06
4.81176657455494e-06,5.01723350288882e-06,5.01696366013394e-06
4.74886499848044e-06,5.18618955618668e-06,4.64993198118979e-06
4.73539092587103e-06,4.78552102883551e-06,4.68391579817658e-06
4.97006612568694e-06,5.29561045425479e-06,5.22610254129903e-06
4.96115686312213e-06,4.86728506590019e-06,5.17852285869805e-06
5.39934124077504e-06,4.06248028591829e-06,5.15820398331278e-06
4.89023826890751e-06,4.77473486147402e-06,4.87000564695898e-06
5.11647155623668e-06,5.07310882552706e-06,5.0290696072085e-06
4.39363803886382e-06,4.66439611871366e-06,4.86668735504164e-06
4.72320712847337e-06,4.68407079821516e-06,4.52289147504542e-06
5.86019376638097e-06,5.26229090827842e-06,5.36765975606164e-06
5.21289985014903e-06,4.51393631713278e-06,4.65519565976703e-06
5.73487507032543e-06,4.9991807083164e-06,4.8710948613643e-06
5.28673889327803e-06,4.94170977752944e-06,4.45255352016144e-06
5.46210649096963e-06,5.17290510230842e-06,5.33876702496704e-06
4.92019443395549e-06,4.81670187007889e-06,4.54400607740673e-06
5.38574016977792e-06,5.25740708960854e-06,4.89301543033793e-06
4.92680942349439e-06,5.26476581592248e-06,4.79108238547125e-06
5.39594075369873e-06,5.07297044222529e-06,4.77099254203562e-06
5.36368717057243e-06,4.82812540539142e-06,4.79076994221914e-06
4.46310219011714e-06,4.23133649733534e-06,4.67094585606596e-06
4.52114741439906e-06,4.26838258165005e-06,4.75458944773098e-06
5.10755106355875e-06,4.51751143594301e-06,4.29418248020136e-06
4.92775424059295e-06,4.26132549952766e-06,4.61768598442892e-06
4.33358308503071e-06,4.16764346392239e-06,4.72580162921396e-06
5.16456352360821e-06,4.59696934384523e-06,4.74516538865093e-06
5.38454998477329e-06,5.1931246074929e-06,4.93004971971444e-06
4.89911865305968e-06,4.55513487097641e-06,4.87237316905922e-06
5.0477252694343e-06,5.25965728601466e-06,5.16573140401212e-06
4.64266331618806e-06,4.79143380958261e-06,4.36968341554612e-06
4.84236304554387e-06,4.85586262484028e-06,4.04548196133855e-06
4.73477486977603e-06,4.69927090626731e-06,5.18974587943498e-06
5.1880623941699e-06,4.63372128264714e-06,5.43318340263772e-06
4.63445028846351e-06,5.04203493220504e-06,4.93125054860289e-06
4.85464592158193e-06,5.15971608900975e-06,4.80066676592946e-06
5.14105535702222e-06,4.75972920285267e-06,5.09070066864383e-06
5.07425035322004e-06,4.75875705808846e-06,5.22521444243042e-06
5.01120976472446e-06,4.87974903643307e-06,4.8661932479459e-06
4.8789304784153e-06,5.02668834576127e-06,4.99992394989563e-06
4.87966855826613e-06,5.12092429843807e-06,5.32942230255399e-06
4.54385148164842e-06,4.65892787253842e-06,4.41343683123457e-06
5.24087228536229e-06,4.84285205706105e-06,4.90253624575775e-06
4.4532998452295e-06,5.08389208370117e-06,5.00413932690734e-06
4.75726041254533e-06,4.65627794122116e-06,4.82540971343191e-06
4.52886540718082e-06,4.76155434346564e-06,4.25063307772361e-06
5.40883354837538e-06,4.94994382545631e-06,4.33745409165792e-06
4.67467223171382e-06,4.33618272825564e-06,4.31743474838704e-06
4.8740814648159e-06,5.35717787378141e-06,4.81037454860559e-06
4.69557992336469e-06,5.49599933901943e-06,5.2788844518921e-06
4.79558508672621e-06,4.89997194449723e-06,5.01124983537115e-06
4.86613647552778e-06,4.81796826232951e-06,5.22850348597869e-06
5.82849900935412e-06,5.58176213408572e-06,5.48218498582152e-06
5.17085585960326e-06,4.31736501912494e-06,4.725042717011e-06
5.26056673501515e-06,4.57692441188792e-06,4.99902466912482e-06
5.47011825796784e-06,5.18074931191912e-06,5.01234759802471e-06
4.34474742759765e-06,4.80343776530289e-06,5.18833129760794e-06
4.49122001366606e-06,4.45705678173405e-06,4.7243919930606e-06
4.35655340418947e-06,4.76432476787391e-06,5.35266887208782e-06
4.4429965646102e-06,5.07154596857265e-06,4.9307908163537e-06
4.61610622544588e-06,4.98445092993787e-06,4.78478990279454e-06
4.06573948636752e-06,5.11850736020747e-06,4.41009124793606e-06
4.66862379126715e-06,4.7623881118599e-06,4.48795611666328e-06
4.45857908889401e-06,4.78719556368898e-06,4.41930934512516e-06
4.76673139165018e-06,4.50674627376972e-06,4.34683326507332e-06
4.32750157450573e-06,4.87838806522743e-06,4.49740340674166e-06
4.61284169648598e-06,4.71344903078061e-06,4.40081148380987e-06
5.31551033575865e-06,4.72535269382358e-06,4.84768210062494e-06
5.28301774960543e-06,4.79429430560147e-06,4.83582085338078e-06
