"x1","x2","x3"
0,0,0
3.70990873515065e-06,4.53676853263489e-06,4.25675659347433e-06
4.46490438647063e-06,4.90228460020378e-06,5.83259022206849e-06
4.85829760716971e-06,4.93599458352291e-06,4.82860642040662e-06
5.00367528775569e-06,5.47058769243314e-06,4.69216680312362e-06
5.42740341093794e-06,5.52960487293771e-06,5.0720813660518e-06
5.73959884867207e-06,5.02720871863732e-06,5.22608115635095e-06
5.6577177647135e-06,5.11796230784588e-06,5.21834277003932e-06
5.03813671841519e-06,4.8673394247296e-06,5.23339459193473e-06
4.63371517038198e-06,5.57796068380154e-06,5.32454188066912e-06
5.03070207172857e-06,5.1497188616293e-06,4.61712653498289e-06
5.27841224702483e-06,5.20682140175667e-06,4.77446825410139e-06
4.8991709047545e-06,5.2972064017401e-06,5.22156160927739e-06
5.3951133697517e-06,5.51685140011412e-06,4.41874744079262e-06
5.79165554433329e-06,5.97079484229253e-06,5.82331915791569e-06
5.20851036997759e-06,5.12447059720221e-06,5.19758041457363e-06
4.94822020460332e-06,4.51640558754515e-06,5.25922962090718e-06
5.038828780866e-06,4.63332665893937e-06,5.46353711852328e-06
5.55917968162738e-06,4.8747773136696e-06,5.56914569515846e-06
5.37011914557878e-06,4.75332557320158e-06,5.1251526246698e-06
5.24660968043194e-06,5.84493935648784e-06,5.02775657780454e-06
4.81057419442974e-06,4.53946767137575e-06,5.14012621602345e-06
5.30496338996122e-06,4.72012141500128e-06,5.44796293053209e-06
4.47298372893764e-06,4.61016132133484e-06,5.37804991938173e-06
5.03454210073536e-06,5.26621825859816e-06,5.14836461710429e-06
4.36672733196708e-06,5.15714245701273e-06,5.12517387381784e-06
5.34438225488468e-06,5.3970472407305e-06,5.76497510315131e-06
5.539733774608e-06,5.4446758708731e-06,5.13717365241796e-06
5.03904220784524e-06,5.00807238638827e-06,4.76704481968392e-06
5.0166791497791e-06,5.03598199211156e-06,4.94790415014348e-06
5.10244577787788e-06,5.44277843462926e-06,5.39798180484652e-06
5.33528545675136e-06,4.30798249350818e-06,5.33592312308384e-06
4.48044011669541e-06,4.890005970287e-06,5.26901880543938e-06
4.26962469853842e-06,5.42568507422243e-06,5.31805695561628e-06
4.39464826306525e-06,5.22393702788138e-06,6.02255484956907e-06
5.21970184421871e-06,5.61888874362392e-06,4.8459137744088e-06
4.67659440499937e-06,5.75425122378478e-06,4.75480464392033e-06
4.93537158003994e-06,6.01044917276927e-06,5.02793237956224e-06
4.71367208303506e-06,5.04595073322072e-06,5.02455740120638e-06
5.00867657933492e-06,5.24057162430132e-06,4.84267435849049e-06
4.94506082086354e-06,5.08499412948899e-06,5.05216706751148e-06
5.01109454394789e-06,5.28898732586623e-06,5.65165482505833e-06
5.01835745054672e-06,4.34102297995486e-06,4.86637334273005e-06
5.39132878046099e-06,4.71036226463639e-06,5.21663307546834e-06
5.13209687027692e-06,4.84702354662151e-06,4.57153034983678e-06
4.84304518900803e-06,5.05851832210677e-06,4.31721755854805e-06
5.26456018199833e-06,5.17228296664805e-06,4.96449666123041e-06
5.11560036813176e-06,5.20561271232745e-06,5.47334198478435e-06
4.81957730971373e-06,5.48783272006335e-06,5.3060623648265e-06
5.64771978668536e-06,4.95259136731862e-06,4.65301344285886e-06
4.36865828192606e-06,4.8859530542797e-06,5.8916747292353e-06
4.57065616249764e-06,4.82550440979124e-06,5.30526577792465e-06
5.25999635798649e-06,5.21610332365857e-06,5.04164883309651e-06
5.22428156297851e-06,5.33210774324339e-06,5.0910529997663e-06
5.62112488155635e-06,4.96391667473974e-06,5.51032717827165e-06
4.80962256130556e-06,4.82314111346852e-06,5.24451348368958e-06
4.88099475735657e-06,4.58141158762915e-06,5.14873439551973e-06
5.5044265715327e-06,5.02472876347164e-06,5.85593526085263e-06
5.51413353497393e-06,4.70887863112221e-06,4.6950054538448e-06
4.8757719150804e-06,5.22383296274373e-06,5.2241520901442e-06
5.19684357608036e-06,5.74141786601627e-06,5.09610523558507e-06
4.76692558437511e-06,5.05250387370026e-06,5.07717503746437e-06
5.66132419594499e-06,4.62745453703582e-06,4.65876433973758e-06
5.56232299990171e-06,5.09617662451608e-06,4.2717563005496e-06
5.64075843785724e-06,4.93499821851986e-06,4.83246221115351e-06
4.80178252319212e-06,5.34746981950793e-06,5.57579450231157e-06
4.49433313705888e-06,5.09910088493832e-06,4.83409284472278e-06
4.98237683347862e-06,5.49556914021946e-06,4.76982778454797e-06
5.62751816871818e-06,4.76883544470737e-06,5.34565646817249e-06
5.64600195989021e-06,5.05153209912267e-06,5.48867079567112e-06
5.08279487770057e-06,4.95402124141224e-06,5.47946232302185e-06
4.66195399021404e-06,5.34380997675642e-06,5.13287653282967e-06
5.36651712675644e-06,5.1643300731655e-06,4.47999323774727e-06
4.88845206663795e-06,5.2436889728938e-06,5.34942645773414e-06
5.52308529375654e-06,5.37413914344037e-06,5.16943387835085e-06
4.85665911898039e-06,5.08395918237085e-06,5.1505369272444e-06
4.95994044304986e-06,4.64457108635281e-06,5.31360536873202e-06
5.06284538792552e-06,5.11525622738155e-06,5.53044807474435e-06
5.29101140199657e-06,4.77483270465738e-06,5.2175490262554e-06
4.41665852930211e-06,5.33333052236921e-06,4.78863946897476e-06
5.14315309365498e-06,5.37014391230137e-06,5.81597345053832e-06
