"x1","x2","x3"
0,0,0
3.25716014351499e-06,3.66113754098482e-06,3.28292319775641e-06
3.85078120509328e-06,4.2216028360734e-06,4.41061809184185e-06
4.22962904454709e-06,4.04624741972965e-06,3.96047131487646e-06
4.25593065812527e-06,4.62777883473777e-06,4.032566496798e-06
4.42285750593707e-06,4.52879174338746e-06,4.66571294410107e-06
4.43584475495506e-06,4.20616656973378e-06,4.17597684417219e-06
4.50627135387256e-06,4.04094291053312e-06,4.21193968628286e-06
4.37056209435855e-06,3.99092229039811e-06,4.10946534155931e-06
3.8961465103692e-06,4.27740601412849e-06,4.31688136046846e-06
4.05539580922391e-06,4.32229296319059e-06,3.68775448463215e-06
4.14274488040259e-06,3.87855429171533e-06,3.98043041893078e-06
4.04106957666618e-06,4.36710112195385e-06,4.22256417798464e-06
4.35390203492231e-06,4.07228055191728e-06,3.90241160101976e-06
5.00851728597515e-06,4.47465676868731e-06,4.76306126697867e-06
4.61718124204923e-06,4.02004340926374e-06,4.04426853517323e-06
4.0755898562444e-06,3.27629549993947e-06,4.25125707968783e-06
4.41373784200651e-06,3.6985487657549e-06,4.36549940423077e-06
4.41195528176223e-06,4.05362142985273e-06,4.3987752568871e-06
4.19144272303509e-06,4.22172258681089e-06,4.13901394234004e-06
4.33011075435851e-06,4.47449733984043e-06,4.48174377417433e-06
3.80402663705508e-06,3.95513371267358e-06,4.30752942821203e-06
4.10645040692294e-06,4.06461577289946e-06,4.06189265197485e-06
3.5286640861106e-06,4.1829852220442e-06,3.89528742279988e-06
4.18467696292569e-06,4.6980331368535e-06,4.45565888948439e-06
4.02836805714795e-06,4.44886103134073e-06,3.91781651434973e-06
4.27132818778066e-06,4.51773731471898e-06,4.7663783978238e-06
4.51173646824803e-06,4.6790261094968e-06,4.6905965046473e-06
3.97468582221048e-06,4.17373910476964e-06,4.12675720964023e-06
4.08058434392011e-06,4.23893585282099e-06,4.37927112438956e-06
4.08051893360748e-06,4.56363264562877e-06,4.09057324261313e-06
4.25354756670732e-06,4.09801802457e-06,4.25478607010203e-06
3.96529547503912e-06,4.09148524480912e-06,4.33206180886866e-06
4.09383587713883e-06,4.50969712473727e-06,4.03038615619428e-06
3.86077717327609e-06,4.2268023382648e-06,4.24029143830023e-06
4.04932046361318e-06,4.54445262910816e-06,3.89425704734619e-06
4.20020817652878e-06,4.79626318198939e-06,3.82249117631955e-06
4.50048313826482e-06,4.73554948031554e-06,4.34680706223545e-06
4.03118890182448e-06,4.31238975421387e-06,4.38233083357797e-06
3.96377607869882e-06,4.56660611563971e-06,4.360128055549e-06
4.05419413133931e-06,4.25090010168288e-06,4.09718207754256e-06
4.12326328428634e-06,4.16681740546419e-06,4.6441160455943e-06
3.85125601078879e-06,3.67347759264009e-06,4.28939016744145e-06
4.26790583510212e-06,4.30957269769359e-06,4.45848888158476e-06
3.99329156790369e-06,3.92974495852577e-06,3.43484668971589e-06
3.79271901726299e-06,4.47881020560163e-06,3.94073101788518e-06
4.15347497734856e-06,4.06628726693058e-06,3.98231403699767e-06
4.31865765983321e-06,4.33868405582437e-06,4.4976151302982e-06
4.34325023417802e-06,4.45633530536403e-06,4.06551877930191e-06
4.7007791793267e-06,4.19351066319256e-06,4.17265245575631e-06
3.99296435606777e-06,3.91038299772617e-06,4.81576193868077e-06
3.89026005723167e-06,3.63382637366921e-06,4.22300705813082e-06
4.4071121367466e-06,4.29888237773826e-06,3.97838250378051e-06
4.6257771957022e-06,3.85948164690832e-06,4.32321054477331e-06
4.25553732674776e-06,4.01657663239802e-06,4.19981323007965e-06
3.81106547782543e-06,4.30158493556705e-06,3.99512751929142e-06
3.84865151444748e-06,3.85632115905503e-06,4.11276879336437e-06
4.21304391484126e-06,4.20783517301398e-06,4.59172253577565e-06
4.59958383087522e-06,3.99671477852688e-06,4.33438952872992e-06
3.92832874009458e-06,4.52143524825795e-06,4.19217974095229e-06
4.02854109492314e-06,4.78553945228365e-06,4.4849253607364e-06
4.27227680145373e-06,4.17534442737818e-06,3.99342684898174e-06
4.73200710766416e-06,4.19895079063364e-06,4.14027735925899e-06
4.32535542638338e-06,4.25334234862734e-06,3.76165861874299e-06
4.35746294545497e-06,4.21926525417339e-06,4.41817916072304e-06
4.39592273613184e-06,4.21624537213294e-06,4.67595623644098e-06
3.65250467139462e-06,4.16595231560648e-06,3.74588072794661e-06
3.85072201457071e-06,3.99696323733247e-06,3.8317509420108e-06
4.33741403650707e-06,4.15344153318292e-06,3.69389691423527e-06
4.61387155946169e-06,4.3737265461678e-06,4.36900383157412e-06
4.29095302001382e-06,3.7562833272226e-06,4.21778015541622e-06
4.05542597848814e-06,4.24225870020705e-06,4.49854474808809e-06
4.33214623162422e-06,4.15448649455379e-06,3.87246230644678e-06
3.90334821422689e-06,4.37494575784801e-06,4.34524386930082e-06
4.58577852325112e-06,4.3947558053612e-06,4.08619328158421e-06
3.68239818052615e-06,4.40010497153735e-06,4.81963032779951e-06
3.81346280314141e-06,3.78154433671232e-06,4.59284589737173e-06
3.98111605817045e-06,4.51667054907997e-06,4.57524160741177e-06
4.41483666832638e-06,4.10781482851374e-06,4.09633110109211e-06
3.660023407397e-06,4.01932211079646e-06,4.07784174645652e-06
4.66924525913109e-06,4.47577362316892e-06,4.40644565049427e-06
4.77409810447046e-06,4.19431988121599e-06,4.69247021511173e-06
4.65052734166235e-06,4.4982171090818e-06,4.15470578748095e-06
4.07671240335358e-06,4.00365839848419e-06,3.80674862989398e-06
4.56311673188898e-06,4.54434018957846e-06,4.31877286474351e-06
4.4747710531542e-06,4.38544082984614e-06,4.35568576804623e-06
4.09212067176263e-06,4.44094844781894e-06,4.29028846630374e-06
4.07530466158253e-06,4.53069092176215e-06,4.67757988645892e-06
4.2460928989158e-06,4.54245757243844e-06,4.70169005521922e-06
4.90074205995039e-06,4.11674260685369e-06,4.51109667708801e-06
4.21111342451242e-06,3.58702886286611e-06,4.27896716375008e-06
4.20544631649333e-06,4.32038270304638e-06,4.10977632631288e-06
3.9579617215142e-06,4.27244592756336e-06,4.52903864899742e-06
4.08634547412606e-06,3.75078488196184e-06,3.87414967300545e-06
4.16857537411504e-06,4.44024097199851e-06,4.54603275239591e-06
4.41543757239459e-06,4.44439202826642e-06,4.1529300406583e-06
4.72916280473752e-06,4.39375941169772e-06,3.86794323461645e-06
4.09536016324968e-06,4.18177018833126e-06,4.59979513359953e-06
4.10204920436751e-06,3.92412874470706e-06,4.25804511223159e-06
4.3420925460043e-06,4.39934976106947e-06,4.61694341589717e-06
3.59437641599343e-06,4.04715384752959e-06,4.27020728620279e-06
3.48644623847455e-06,4.09549358397376e-06,4.2751541531008e-06
4.19395996233305e-06,4.10166736681247e-06,3.95520401645445e-06
3.9249130573212e-06,3.97534905684481e-06,4.00107714627312e-06
4.00085518091744e-06,4.18320215424869e-06,3.9729314457272e-06
4.65439598636335e-06,4.46357690345834e-06,4.01772244866282e-06
4.49185300050829e-06,3.99830381281522e-06,4.025894287036e-06
4.21427559891334e-06,4.196297231301e-06,4.22775831447195e-06
4.26580424739558e-06,4.32008314330251e-06,3.9519270998911e-06
4.2306936701805e-06,4.23366322930212e-06,3.91135352293311e-06
4.14064146021918e-06,4.1333710804785e-06,3.80728930807407e-06
3.68640425813637e-06,3.4877366889941e-06,4.09024541436869e-06
3.93327990109753e-06,3.8017001997049e-06,4.11776242087164e-06
4.3415413697103e-06,4.09524507048578e-06,4.07698462855363e-06
3.85313215944378e-06,4.37416131858683e-06,4.55973578456489e-06
3.72022436758337e-06,3.99517771803812e-06,4.29557318975914e-06
3.79330199436036e-06,4.34679608587916e-06,4.40566964088026e-06
4.11608574837023e-06,4.17752038068534e-06,4.41738880438766e-06
4.0563427079154e-06,3.76529192038104e-06,3.90478631236625e-06
